ID,Title,ShortTitle,SubjectType,ControlType,IsDistant,Departments - DepartmentId → ID,Departments - DepartmentId → Title,Faculties - FacultyId → ID,Faculties - FacultyId → Title,SemesterSeasons - SemesterSeasonId → Year,SemesterSeasons - SemesterSeasonId → Season
2107,Практическая психология,ПрактПс,Пр,,false,2,каф.ИС,3,ФКТИ,2023,autumn
2108,Обработка естественных языков,ОбрЕстЯз,Лек,,true,5,каф.АМ,3,ФКТИ,2023,autumn
2109,Комбинаторные вычисления,КомбВыч,Лек,ЗчО,true,5,каф.АМ,3,ФКТИ,2023,autumn
2110,Математические методы цифровой обработки сигналов,ММЦОС,Пр,,true,5,каф.АМ,3,ФКТИ,2023,autumn
2111,Математические методы цифровой обработки сигналов,ММЦОС,Лек,ЗчО,true,5,каф.АМ,3,ФКТИ,2023,autumn
2112,Структуры данных и алгоритмы,СтрДиА,Пр,,true,5,каф.АМ,3,ФКТИ,2023,autumn
2113,Структуры данных и алгоритмы,СтрДиА,Лек,Экз,true,5,каф.АМ,3,ФКТИ,2023,autumn
2114,Дискретная математика,ДМ,Лек,Экз,true,5,каф.АМ,3,ФКТИ,2023,autumn
2115,Машинное обучение на больших данных (Machine Learning on Big Data),МОнБД(MLonBD),Пр,ЗчО,false,2,каф.ИС,3,ФКТИ,2023,autumn
2116,Языки проектирования и верификации аппаратуры (Languages for Hardware Design and Verification),ЯПиВА(LHD&V),Пр,ЗчО,false,6,каф.ВТ,3,ФКТИ,2023,autumn
2117,Информационная безопасность (Information Security),ИнфБез(InfSec),Пр,Экз,false,2,каф.ИС,3,ФКТИ,2023,autumn
2118,Биометрические технологии (Biometric Technologies),БиомТехн(BTech),Пр,Экз,false,14,каф.МОЭВМ,3,ФКТИ,2023,autumn
2122,Анализ данных в искусственном интеллекте,АДвИИ,Пр,,false,1,каф.АПУ,3,ФКТИ,2023,autumn
2123,Анализ данных в искусственном интеллекте,АДвИИ,Лек,ЗчО,false,1,каф.АПУ,3,ФКТИ,2023,autumn
2124,Моделирование и анализ инженерных данных,МодАИД,Лек,ЗчО,true,24,каф.САПР,3,ФКТИ,2023,autumn
2125,Теория информации и теория кодирования,ТИиТК,Пр,,false,58,каф.ИБ,3,ФКТИ,2023,autumn
2127,Основы построения защищенных компьютерных сетей,ОПЗКС,Пр,,true,58,каф.ИБ,3,ФКТИ,2023,autumn
2128,Основы построения защищенных компьютерных сетей,ОПЗКС,Лек,Экз,true,58,каф.ИБ,3,ФКТИ,2023,autumn
2129,Аппаратно-программные средства защиты информации в компьютерных системах,АПСЗИвКС,Пр,,true,58,каф.ИБ,3,ФКТИ,2023,autumn
2130,Сетевое Web-программирование,СетWeb-пр,Лаб,,true,24,каф.САПР,3,ФКТИ,2023,autumn
2131,Аппаратно-программные средства защиты информации в компьютерных системах,АПСЗИвКС,Лек,Экз,true,58,каф.ИБ,3,ФКТИ,2023,autumn
2133,Представление знаний в системах искусственного интеллекта,ПЗвСИИ,Лек,Экз,true,5,каф.АМ,3,ФКТИ,2023,autumn
2134,Теория сложности вычислений,ТеорСлВ,Пр,,true,5,каф.АМ,3,ФКТИ,2023,autumn
2135,Нейросетевое управление,НейросетУпр,Пр,,true,1,каф.АПУ,3,ФКТИ,2023,autumn
2136,Нейросетевое управление,НейросетУпр,Лек,Экз,true,1,каф.АПУ,3,ФКТИ,2023,autumn
2137,Теория сложности вычислений,ТеорСлВ,Лек,ЗчО,true,5,каф.АМ,3,ФКТИ,2023,autumn
2138,Физкультура,Физкультура,Пр,,false,33,каф.ФВиС,5,ФИБС,2023,autumn
2139,Системная инженерия,СистИнж,Пр,,true,1,каф.АПУ,3,ФКТИ,2023,autumn
2140,Комбинаторные вычисления,КомбВыч,Пр,ЗчО,true,5,каф.АМ,3,ФКТИ,2023,autumn
2141,Управление изменениями,УпрИзм,Пр,,true,1,каф.АПУ,3,ФКТИ,2023,autumn
2142,Квантовые вычисления,КвВыч,Пр,ЗчО,true,5,каф.АМ,3,ФКТИ,2023,autumn
2143,Управление изменениями,УпрИзм,Лек,ЗчО,true,1,каф.АПУ,3,ФКТИ,2023,autumn
2144,IT консалтинг,IT конс,Лек,ЗчО,true,1,каф.АПУ,3,ФКТИ,2023,autumn
